Rank,Name,Score,Performance,Old Rating(β),Change,New Rating(β)
1,ats5515,6255977,3712,0,+2712,2712
2,tourist,6187116,3454,0,+2454,2454
3,tomerun,6124683,3327,1920,+609,2529
4,kimiyuki,6112365,3241,678,+1575,2253
5,japlj,6103184,3174,0,+2174,2174
6,takumi152,6004818,3119,1489,+766,2255
7,btk15049,5985091,3073,1020,+1108,2128
8,WA_TLE,5981208,3032,1071,+1029,2100
9,iaNTU,5978258,2996,1321,+800,2121
10,snuke,5973295,2963,935,+1086,2021
11,iehn,5899172,2933,1453,+658,2111
12,heno239,5868986,2906,808,+1147,1955
13,sumoooru,5847232,2880,1126,+861,1987
14,asi1024,5802346,2856,1376,+658,2034
15,EmK,5782698,2834,1006,+919,1925
16,C7BMkOO7Qbmcwck7,5701946,2813,1262,+708,1970
17,spica314,5638643,2793,680,+1161,1841
18,ichyo,5624193,2774,707,+1120,1827
19,Yu_212,5623587,2756,790,+1034,1824
20,Shibuyap,5554439,2739,1422,+551,1973
21,Omotchi,5484189,2723,1724,+367,2091
22,kotatsugame,5370372,2707,794,+989,1783
23,rstoick,5366113,2692,1697,+366,2063
24,hitonanode,5358602,2678,0,+1678,1678
25,sansaqua,5358222,2664,1558,+426,1984
26,Komaki,5347048,2650,2069,+198,2267
27,august14,5300675,2637,1078,+714,1792
28,kuhaku,5244940,2625,1256,+584,1840
29,ynasu,5238164,2612,1673,+340,2013
30,USA,5155767,2601,1825,+269,2094
31,teamhimeE,5115363,2589,0,+1589,1589
32,noimi,5098115,2578,0,+1578,1578
33,yaufung,5072577,2567,0,+1567,1567
34,satanic0258,5006742,2556,857,+818,1675
35,Haa,5003155,2546,1051,+668,1719
36,m_buyoh,5001677,2536,639,+976,1615
37,assy,4997673,2526,1385,+446,1831
38,sash,4984068,2517,646,+954,1600
39,zkou,4971162,2507,552,+1025,1577
40,catupper,4959819,2498,824,+799,1623
41,ixex,4942055,2489,556,+1006,1562
42,kawatea,4936440,2481,1592,+317,1909
43,nesya,4926603,2472,52,+1423,1475
44,MatsuTaku,4911412,2464,965,+670,1635
45,saharan,4902223,2455,1515,+340,1855
46,kaz49bz,4889341,2447,955,+666,1621
47,fuppy0716,4882752,2439,0,+1439,1439
48,maspy,4879240,2432,445,+1051,1496
49,fetetriste,4825211,2424,1151,+523,1674
50,merom686,4768824,2416,514,+981,1495
51,hoshi524,4765677,2409,1476,+338,1814
52,carrot46,4740733,2402,1351,+396,1747
53,Shun_PI,4738071,2395,202,+1224,1426
54,clavis1107,4726454,2388,682,+823,1505
55,kusano,4721559,2381,1328,+397,1725
56,rabot,4720540,2374,811,+717,1528
57,yaoxi_std,4715448,2367,0,+1367,1367
58,Risen,4705381,2361,726,+770,1496
59,mizuiro_t,4700450,2354,0,+1354,1354
60,Kevinxiehk,4699646,2348,0,+1348,1348
61,Hexazine,4696163,2341,316,+1083,1399
62,kumakumaaaaa,4695849,2335,957,+590,1547
63,otera,4682342,2329,187,+1177,1364
64,baku1101,4673229,2323,0,+1323,1323
65,bowwowforeach,4672157,2317,1528,+275,1803
66,dividebyzero,4667998,2311,898,+613,1511
67,Raclamusi,4644007,2305,317,+1051,1368
68,flour814,4638153,2300,499,+897,1396
69,shindannin,4636591,2294,879,+614,1493
70,amaguri0408,4628303,2288,449,+929,1378
71,HBit,4609015,2283,1245,+388,1633
72,olphe,4608520,2277,749,+691,1440
73,tashikani,4602748,2272,0,+1272,1272
74,nikuroll,4602152,2267,509,+864,1373
75,yowa,4585903,2261,1787,+164,1951
76,Gobi,4564046,2256,746,+678,1424
77,Rafbill,4560739,2251,1984,+112,2096
78,kort0n,4548061,2246,0,+1246,1246
79,bin101,4542592,2241,1293,+344,1637
80,ha15,4506353,2236,950,+531,1481
81,Hachimori,4495969,2231,531,+819,1350
82,ttkkggww,4495201,2226,651,+725,1376
83,purine,4493105,2221,0,+1221,1221
84,tamurahey,4492075,2216,0,+1216,1216
85,lhp1202358,4485302,2212,1008,+482,1490
86,SpadeZ,4482217,2207,0,+1207,1207
87,Moegi,4475013,2202,482,+834,1316
88,LayCurse,4451354,2198,634,+717,1351
89,milkcoffee,4451259,2193,247,+1011,1258
90,kenta2997,4448677,2189,0,+1189,1189
91,nahco314,4447343,2184,167,+1062,1229
92,c_yan,4438786,2180,52,+1139,1191
93,qwerty787788,4423235,2175,0,+1175,1175
94,i8fbnkyw,4409439,2171,507,+791,1298
95,omu,4406737,2167,928,+502,1430
96,swift_zym,4402103,2162,154,+1052,1206
97,kkktym,4398711,2158,802,+576,1378
98,qLethon,4395645,2154,763,+598,1361
99,Suu0313,4391847,2150,578,+723,1301
100,ts_,4380594,2146,1501,+220,1721
