Rank,Name,Score,Provisional Rank,Provisional Score,Performance,Old Rating(β),Change,New Rating(β)
1,eivour,2926767743437,1,97506167171,3644,1367,+1307,2674
2,yosss,2923709982302,2,97354398934,3388,1147,+1275,2422
3,Komaki,2923117883011,3,97341260792,3265,2267,+344,2611
4,toame,2922869400186,4,97339666760,3181,1595,+707,2302
5,primenumber,2921245705250,5,97323736361,3118,1064,+1109,2173
6,saharan,2920998582707,6,97291365214,3066,1855,+456,2311
7,ynasu,2919878774295,9,97173579512,3023,2013,+347,2360
8,gasin,2919608156278,7,97233118685,2985,0,+1985,1985
9,tomerun,2917839533950,8,97189399930,2951,2529,+129,2658
10,ymatsux,2917360317385,10,97149959668,2921,2207,+240,2447
11,nagiss,2916726985993,12,97112690553,2893,1389,+663,2052
12,hoshi524,2916571237001,11,97137131339,2868,1814,+369,2183
13,kimonohanger,2915852623056,13,97085280649,2844,1081,+848,1929
14,ebicochineal,2913446657303,16,97044626079,2822,1638,+455,2093
15,USA,2913257437525,15,97066687189,2802,2094,+216,2310
16,colun,2912675755694,18,97020797193,2782,1404,+560,1964
17,Omotchi,2911953116696,21,96949716272,2764,2091,+201,2292
18,sansaqua,2911947158259,20,96990398770,2746,1984,+237,2221
19,asi1024,2911430162021,17,97023042352,2730,2034,+215,2249
20,terry_u16,2909855916098,19,97005620540,2714,1705,+356,2061
21,Aquarius,2909681890615,14,97070052956,2699,1931,+251,2182
22,bowwowforeach,2909272504575,22,96898823437,2684,1803,+288,2091
23,kusano,2906509995075,23,96845023619,2670,1725,+316,2041
24,siman,2906247313355,25,96793138249,2656,1188,+629,1817
25,takumi152,2905238839320,24,96818948890,2643,2255,+124,2379
26,kurakura,2904243970079,26,96760932219,2631,0,+1631,1631
27,machy,2903622310654,30,96674902485,2619,0,+1619,1619
28,dn6049949,2903315700628,27,96740940262,2607,1399,+470,1869
29,threecourse,2903273778420,29,96725950022,2595,1117,+656,1773
30,kr,2903191533079,31,96670804650,2584,1806,+257,2063
31,iaNTU,2902352672751,32,96667579214,2573,2121,+141,2262
32,yowa,2901935023891,37,96594697198,2563,1951,+187,2138
33,wleite,2901633418427,33,96644222321,2552,1412,+445,1857
34,YamagenSakam,2901613939191,28,96726413369,2542,1267,+499,1766
35,yochan,2900549129079,34,96633980116,2532,0,+1532,1532
36,kibuna,2899932429039,35,96625233999,2523,1423,+397,1820
37,hiratai,2899834599641,39,96538012500,2513,1545,+327,1872
38,kawatea,2897760256629,38,96571326944,2504,1909,+176,2085
39,suzume,2897744939646,40,96522287724,2495,1139,+576,1715
40,uenoku,2897071167075,36,96608525986,2487,566,+996,1562
41,l_ength,2895530927872,41,96507468474,2478,1439,+362,1801
42,xyz600,2894989347831,48,96344788877,2470,1485,+335,1820
43,iwashi31,2894838752699,44,96415731284,2461,1465,+344,1809
44,cunitac,2894790418242,43,96425979994,2453,1362,+395,1757
45,takoshi,2894562119272,42,96439789595,2445,1042,+606,1648
46,eijirou,2893942039230,49,96343325353,2438,1340,+401,1741
47,dAi00,2893469351410,47,96348283711,2430,0,+1430,1430
48,EmK,2893160947619,45,96390950317,2422,1925,+156,2081
49,Jirotech,2892656529618,51,96298155107,2415,0,+1415,1415
50,q_va,2892415542141,50,96312204107,2408,967,+631,1598
51,Shibuyap,2891467260379,46,96368062801,2401,1973,+130,2103
52,yokozuna57,2891140252953,52,96286042972,2393,1262,+410,1672
53,highjump,2890269764357,56,96235165686,2387,634,+860,1494
54,Haa,2890256370408,55,96261681283,2380,1719,+203,1922
55,kimiyuki,2888907854074,60,96157417231,2373,2253,+79,2332
56,jutama,2888192947390,54,96265843131,2366,0,+1366,1366
57,sumoooru,2887818444115,57,96209752873,2360,1987,+121,2108
58,btk15049,2887406002796,53,96280253776,2353,2128,+93,2221
59,phyllo,2887329303031,59,96171534595,2347,1650,+239,1889
60,qLethon,2887027843415,58,96197015683,2341,1361,+335,1696
61,theory_and_me,2886529533101,64,96004399696,2335,916,+592,1508
62,packer_jp,2884171994174,61,96082754547,2329,1699,+194,1893
63,y_kawano,2884139149660,62,96063939548,2323,1163,+429,1592
64,hiromi_ayase,2882327415865,63,96041204420,2317,846,+651,1497
65,koyumeishi,2881599632424,68,95922653678,2311,1308,+369,1677
66,ts_,2881342475312,65,95996422972,2305,1721,+177,1898
67,phocom,2881226726041,69,95917046562,2300,1118,+439,1557
68,Nyanyan,2880331256983,66,95968896722,2294,1512,+260,1772
69,sapphire15,2880130731242,72,95853744548,2288,1114,+434,1548
70,tanzaku,2879829534714,67,95951569650,2283,1515,+246,1761
71,Hec,2878264272838,74,95838798142,2277,714,+689,1403
72,TowersofHanoi,2876943519768,73,95840654040,2272,174,+1136,1310
73,zach,2876397506449,70,95877967650,2267,1313,+320,1633
74,satanic0258,2875667877391,71,95872808074,2262,1675,+182,1857
75,iehn,2874791103266,78,95726753015,2256,2111,+73,2184
76,KawattaTaido,2874683227346,81,95701852831,2251,995,+483,1478
77,tsukammo,2874547068125,77,95754518167,2246,1006,+481,1487
78,ichyo,2874302683187,76,95776116184,2241,1827,+136,1963
79,c7c7,2873988987837,75,95778756182,2236,1443,+277,1720
80,pes,2873338686682,88,95586840577,2231,0,+1231,1231
81,cuthbert,2873197995448,80,95706889363,2227,0,+1227,1227
82,Shun_PI,2873168252219,85,95610234753,2222,1426,+268,1694
83,m_m,2872699799477,86,95603102485,2217,1045,+436,1481
84,abb,2872397673377,90,95577073339,2212,1341,+283,1624
85,nrvft,2871936955243,79,95717280159,2208,1442,+241,1683
86,hari64,2871647968238,91,95556442591,2203,952,+510,1462
87,hirono999,2871474082339,82,95671714899,2198,1114,+390,1504
88,carre,2870992267092,87,95590929640,2194,0,+1194,1194
89,udon1206,2870879520489,84,95625416863,2189,889,+512,1401
90,shotoyoo,2870636665740,94,95523115590,2185,1124,+374,1498
91,rabot,2870577560779,83,95653906019,2181,1528,+202,1730
92,mamekin,2870073112557,95,95481371646,2176,809,+555,1364
93,Sylvus,2868291535414,92,95537407897,2172,0,+1172,1172
94,wanui,2868069385704,89,95586192491,2168,1375,+253,1628
95,kozima,2865905750679,93,95523681324,2163,1398,+238,1636
96,tamurahey,2865436784759,100,95332392937,2159,1216,+342,1558
97,chocorusk,2864767654662,96,95466054029,2155,973,+469,1442
98,longrun,2862831736755,99,95388704160,2151,654,+641,1295
99,ao1415,2862525072820,98,95389856650,2147,812,+532,1344
100,ToastUz,2862339791208,101,95276680834,2143,1231,+305,1536
101,miku,2861954728136,97,95418078577,2139,1039,+392,1431
102,neterukun,2859952786887,109,95114078860,2135,1290,+271,1561
103,kens,2859737168827,104,95170221787,2131,1083,+368,1451
104,nasuo,2859085897800,105,95167230547,2127,1330,+261,1591
105,Roy_R,2856957460804,102,95266440571,2123,1103,+355,1458
106,hitoare,2856445160854,107,95137299814,2119,0,+1119,1119
107,tmyksj,2856130375853,106,95156208508,2115,1010,+396,1406
108,shun2741,2855269030186,103,95228989577,2111,1179,+314,1493
109,rs02,2854026589868,110,95088409139,2107,752,+575,1327
110,toku,2853273778939,111,94974701251,2104,1275,+270,1545
111,new_textfile,2847931184343,112,94970303713,2100,1126,+330,1456
112,olphe,2846865663399,115,94733926173,2096,1440,+203,1643
113,agajo,2846282066384,123,94559757430,2093,1124,+331,1455
114,Nanored,2846064140499,113,94869710814,2089,278,+901,1179
115,takytank,2845674570355,117,94686307365,2085,1210,+287,1497
116,int_cl,2844248044125,114,94735614348,2082,0,+1082,1082
117,cottoncotton,2843341721023,118,94681692874,2078,1333,+235,1568
118,reg7777,2842142781153,122,94597171020,2075,1204,+285,1489
119,Shibungi,2840029834611,116,94693453531,2071,974,+392,1366
120,nuts,2839527413132,121,94597624169,2068,1335,+229,1564
121,oks,2839376973630,120,94609618276,2064,615,+637,1252
122,sash,2839158095567,126,94429130094,2061,1600,+146,1746
123,sash0,2836998073562,124,94526690126,2057,1067,+341,1408
124,chudanu,2836601499352,127,94423515377,2054,1148,+313,1461
125,patahene,2836332611535,131,94218983615,2050,1082,+328,1410
126,oldlick,2834519969868,119,94613858028,2047,0,+1047,1047
127,spica314,2833355106003,130,94234574837,2044,1841,+89,1930
128,hiro116s,2832755182712,125,94461462554,2040,1354,+208,1562
129,sbite,2830881469849,128,94381058517,2037,1078,+323,1401
130,nikuroll,2830517913929,129,94266194033,2034,1373,+207,1580
131,x20,2828601322236,132,94217685747,2030,0,+1030,1030
132,Risen,2828143704478,133,94188470693,2027,1496,+163,1659
133,Aruriruri,2827136950728,134,94175171507,2024,472,+709,1181
134,itohdak,2826367082756,138,94126437472,2021,281,+845,1126
135,yupiteru,2825547874805,135,94164718014,2018,1407,+183,1590
136,mooaki,2825428313194,141,94037570292,2014,868,+420,1288
137,prd_xxx,2824094449532,136,94161824540,2011,777,+470,1247
138,ytkn,2823801065268,144,94009724654,2008,909,+392,1301
139,hdrop,2823610462377,140,94107933823,2005,1092,+305,1397
140,T_tani,2823351354847,143,94015571713,2002,1227,+243,1470
141,Moegi,2821445680976,137,94131092747,1999,1316,+214,1530
142,nesya,2821438829019,148,93917333444,1996,1475,+176,1651
143,lucifer1004,2820946359246,139,94109708233,1993,589,+583,1172
144,Dente,2820620490725,146,93950166390,1990,1393,+181,1574
145,monnu,2820491050947,142,94018969964,1987,1227,+235,1462
146,catupper,2819327926624,149,93885495327,1984,1623,+117,1740
147,bin101,2818156183998,151,93861731813,1981,1637,+110,1747
148,komori3,2816695278419,161,93581347469,1978,1387,+183,1570
149,DamianS,2815926784485,147,93925565123,1975,0,+975,975
150,Yuki_B,2815557666922,152,93823077588,1972,1210,+243,1453
151,dsytk7,2814722618317,163,93491239678,1969,1105,+280,1385
152,yomopota,2813018861329,156,93658780521,1966,1340,+185,1525
153,Pon_Sato0928,2812876531658,154,93727966589,1963,162,+875,1037
154,lhp1202358,2812084881645,155,93717618251,1960,1490,+141,1631
155,kanjino,2811073577061,150,93866572149,1957,1312,+201,1513
156,Atomic,2809351232460,160,93585857765,1954,0,+954,954
157,shi,2808436362929,157,93648767985,1952,347,+746,1093
158,RTnF,2808110187932,165,93399204788,1949,881,+377,1258
159,shindannin,2806852906467,145,93986716132,1946,1493,+138,1631
160,mdstoy,2806411894424,168,93315231887,1943,613,+529,1142
161,DFNasutarou,2804930575457,158,93625359982,1940,760,+440,1200
162,noimi,2804930450188,167,93349204922,1938,1578,+133,1711
163,otsuneko,2804636391585,164,93417969072,1935,518,+615,1133
164,hoshiika,2804496343323,159,93599493039,1932,524,+581,1105
165,YTOK,2804281781485,162,93531389920,1929,0,+929,929
166,montplusa,2804274328520,166,93362203487,1927,0,+927,927
167,zkou,2801822463625,182,92991181527,1924,1577,+118,1695
168,kyoroid,2799306751489,171,93236556449,1921,580,+566,1146
169,pres1dent,2798713887136,174,93146666524,1919,341,+704,1045
170,jam1729,2798517049707,169,93312142990,1916,17,+904,921
171,kuzmichev_dima,2798402209399,153,93767513466,1913,0,+913,913
172,kamome,2798057939230,172,93186537093,1911,780,+415,1195
173,HBit,2796716049290,170,93266491621,1908,1633,+96,1729
174,fky_,2796670500523,179,93102203091,1905,990,+308,1298
175,petite_prog,2796387189886,177,93115997092,1903,969,+312,1281
176,soto800,2794706798454,183,92964685488,1900,660,+504,1164
177,emanon001,2794331637174,175,93138355487,1898,1052,+272,1324
178,KameKun,2792855873536,180,93057973219,1895,837,+371,1208
179,ppputtyo,2792233044434,181,93023471466,1892,0,+892,892
180,shiroshiro,2791913591291,173,93179853923,1890,419,+632,1051
181,Rafbill,2791902613032,186,92931881624,1887,2096,+30,2126
182,tunehira,2791626282507,185,92934055405,1885,919,+326,1245
183,fgwiebfaoish,2791386733436,176,93117692324,1882,1080,+253,1333
184,makibishi0212,2789617666667,184,92960302683,1880,1065,+265,1330
185,taiga0629,2788998612697,196,92635695711,1877,1072,+256,1328
186,rhincodon66,2788154030893,178,93103369967,1875,848,+382,1230
187,keserasera_77,2787819070300,189,92808643972,1872,1095,+245,1340
188,ush,2786911209663,195,92637696530,1870,621,+509,1130
189,dividebyzero,2786033297431,192,92687978671,1867,1511,+113,1624
190,C7BMkOO7Qbmcwck7,2785837707087,197,92616588701,1865,1970,+39,2009
191,chomonolis,2784089722106,191,92722376624,1863,928,+311,1239
192,htutui,2783668568460,193,92664381149,1860,331,+690,1021
193,tosca2020,2782783465170,190,92746578753,1858,855,+344,1199
194,Mackentaro,2782583869501,188,92862051967,1855,0,+855,855
195,amayapetako,2782312217613,187,92864250563,1853,670,+439,1109
196,merom686,2781579782878,209,92368912161,1850,1495,+119,1614
197,fetetriste,2780428380512,198,92613721092,1848,1674,+77,1751
198,NNMochi,2780415961950,200,92593682471,1846,1197,+192,1389
199,atcoder,2779265369512,199,92599724894,1843,1323,+155,1478
200,maeda3,2778782701634,202,92446154321,1841,873,+327,1200
201,sasayu,2778555036430,216,92285280398,1839,0,+839,839
202,wakasuki,2777428787394,213,92311658213,1836,761,+380,1141
203,ikatakos,2776835071971,210,92351288803,1834,439,+580,1019
204,kamojiro,2776064875183,208,92401812968,1832,597,+500,1097
205,yukidaruma6,2775710981348,204,92422896194,1829,1309,+154,1463
206,qxa,2774235680873,207,92402517016,1827,0,+827,827
207,tamaron,2773473793641,211,92350347911,1825,440,+594,1034
208,to_omoT222,2773471723564,219,92239226047,1822,613,+455,1068
209,kaz49bz,2773059362646,206,92411039283,1820,1621,+82,1703
210,nanbito,2772154176900,214,92308930326,1818,464,+574,1038
211,hofwe,2772004094537,223,92159513798,1816,1191,+192,1383
212,arimatti,2771620745912,220,92216252520,1813,135,+766,901
213,sk4rd,2771134662501,224,92155508247,1811,1153,+199,1352
214,tatyam,2770963641193,205,92418172762,1809,442,+583,1025
215,rin204,2770410673916,222,92186206686,1807,477,+559,1036
216,souma987,2769335471803,194,92659089295,1804,655,+423,1078
217,th90tk297,2769039588430,212,92312563513,1802,681,+405,1086
218,matsu7874,2768814944540,234,92026539602,1800,966,+267,1233
219,Tyranno,2768304941920,217,92258468648,1798,1268,+157,1425
220,pisces,2768066445458,235,91942535926,1795,105,+764,869
221,Yu_212,2767780747597,228,92119450718,1793,1824,+49,1873
222,kou0718,2767121435816,201,92593613898,1791,332,+641,973
223,kenta2997,2766892236725,218,92239858272,1789,1189,+204,1393
