Rank,Name,Score,Provisional Rank,Provisional Score,Performance,Old Rating(β),Change,New Rating(β)
1,eivour,6376124,1,105661,3684,2728,+326,3054
2,phocom,6336494,3,104535,3421,2619,+237,2856
3,toame,6322511,8,103953,3292,2380,+287,2667
4,bowwowforeach,6317676,2,104628,3204,2433,+205,2638
5,ValGrowth,6308627,5,104216,3137,1313,+898,2211
6,c7c7,6300970,10,103497,3082,2862,+82,2944
7,ynasu,6297426,9,103951,3036,2504,+124,2628
8,Shun_PI,6291108,6,104064,2996,2338,+171,2509
9,yokozuna57,6290337,7,103999,2960,2310,+183,2493
10,iehn,6258544,4,104325,2928,2427,+121,2548
11,siman,6249338,12,102874,2899,2280,+167,2447
12,NKT,6245968,14,102814,2873,1713,+392,2105
13,iwashi31,6240534,15,102541,2848,2346,+121,2467
14,yochan,6229796,11,103030,2825,1931,+277,2208
15,gazelle,6221292,13,102817,2804,1448,+557,2005
16,rabot,6187778,21,101863,2784,2061,+188,2249
17,toku,6186325,19,101910,2765,1765,+303,2068
18,tomerun,6184621,17,102157,2747,2857,+22,2879
19,shamio,6182974,16,102383,2729,1581,+387,1968
20,kawatea,6180297,18,101919,2713,2634,+42,2676
21,ytkn,6175325,22,101791,2697,1597,+373,1970
22,hokekyo1210,6164075,24,101756,2682,0,+1682,1682
23,EmK,6160861,23,101759,2668,2404,+68,2472
24,shibh308,6158633,26,101155,2654,2105,+138,2243
25,assy,6155200,20,101870,2640,2470,+53,2523
26,kr,6146727,27,101061,2627,2434,+63,2497
27,phyllo,6138201,25,101276,2615,2052,+142,2194
28,terry_u16,6132732,29,100888,2603,2346,+69,2415
29,sumoooru,6132549,30,100601,2591,2234,+89,2323
30,yupiteru,6122653,28,100914,2579,1619,+297,1916
31,kens,6113186,31,100437,2568,1839,+198,2037
32,y_kawano,6112552,35,100135,2557,1814,+195,2009
33,ebicochineal,6100312,33,100368,2547,2197,+92,2289
34,yowa,6099516,32,100403,2536,2506,+31,2537
35,tokotoko7777,6070166,34,100174,2526,202,+1346,1548
36,rs02,6064262,37,99962,2517,1600,+288,1888
37,itigo,6063488,38,99921,2507,611,+959,1570
38,Trineutron,6056617,36,100063,2497,1554,+276,1830
39,uminorosujin,6051572,40,99734,2488,1799,+199,1998
40,wanui,6046582,39,99771,2479,2062,+102,2164
41,keep_OC,6045679,43,99488,2470,1112,+537,1649
42,cirno3153,6042578,42,99678,2462,1023,+600,1623
43,besukohu,6041662,44,99356,2453,0,+1453,1453
44,takumi152,6024769,41,99717,2445,2559,+22,2581
45,spica314,6010550,46,98949,2437,2162,+77,2239
46,primenumber,6003060,47,98736,2429,2355,+49,2404
47,takoshi,5994689,50,98535,2421,1902,+126,2028
48,kozima,5993402,45,98983,2413,1923,+112,2035
49,shotoyoo,5987058,48,98734,2405,1570,+244,1814
50,nagiss,5984990,59,97812,2398,2327,+44,2371
51,cuthbert,5975866,49,98698,2391,2231,+60,2291
52,tsutaj,5974033,53,98034,2383,1233,+411,1644
53,carrot46,5972389,54,98012,2376,2149,+57,2206
54,highjump,5971390,51,98114,2369,1849,+130,1979
55,dsytk7,5964250,58,97962,2362,1694,+169,1863
56,ToastUz,5961541,55,98010,2355,1594,+213,1807
57,nikuroll,5957413,60,97795,2348,1882,+108,1990
58,sbite,5955326,56,98009,2342,1497,+246,1743
59,suzume,5949656,57,97975,2335,1719,+187,1906
60,kurakura,5945258,52,98056,2329,2167,+58,2225
61,Jirotech,5928554,62,97486,2322,2801,+7,2808
62,qLethon,5928141,63,97467,2316,2084,+68,2152
63,ChiyosBigDragon,5924103,61,97750,2310,1952,+98,2050
64,Haa,5911130,64,97317,2304,2140,+52,2192
65,fuppy0716,5906825,68,96994,2297,2267,+42,2309
66,reg7777,5897777,69,96942,2291,1629,+169,1798
67,ks2m,5893486,65,97254,2285,1791,+115,1906
68,wleite,5880493,70,96923,2280,1999,+83,2082
69,habara_k,5880039,77,96626,2274,0,+1274,1274
70,yudedako,5876955,76,96628,2268,830,+629,1459
71,Aquarius,5874182,72,96817,2262,2596,+11,2607
72,WA_TLE,5873406,67,97046,2257,2774,+9,2783
73,fugusuki,5871971,84,96313,2251,0,+1251,1251
74,tomo0608,5871470,75,96656,2246,293,+999,1292
75,Dente,5866042,71,96889,2240,2006,+60,2066
76,nasuo,5865137,73,96768,2235,1900,+75,1975
77,titia,5863882,74,96757,2229,1938,+76,2014
78,ha15,5860141,83,96320,2224,1568,+184,1752
79,saharan,5856053,79,96538,2219,2315,+34,2349
80,kuhaku,5852143,85,96060,2214,2214,+35,2249
81,daiwakun,5849555,78,96546,2209,1279,+336,1615
