Rank,Name,Score,Provisional Rank,Provisional Score,Performance,Old Rating(β),Change,New Rating(β)
1,Jirotech,5651440905,1,281972967,3658,2254,+547,2801
2,USA,5640376952,2,280486137,3395,3178,+74,3252
3,sansaqua,5558175172,3,276882664,3265,2337,+278,2615
4,phocom,5538361592,4,275364262,3176,2379,+240,2619
5,yokozuna57,5528293214,5,275057663,3107,1852,+458,2310
6,kr,5383259810,6,271259844,3050,2162,+272,2434
7,fuppy0716,5363710195,7,267886912,3002,1877,+390,2267
8,siman,5323826816,8,265686150,2960,1958,+322,2280
9,kawatea,5306742836,9,264231082,2923,2532,+102,2634
10,bowwowforeach,5254910587,12,261373673,2890,2279,+154,2433
11,Aquarius,5246393748,11,261494096,2859,2499,+97,2596
12,fky_,5244257692,10,263274892,2831,1512,+490,2002
13,sensaur,5226020806,14,259634944,2805,1740,+350,2090
14,assy,5214965972,17,259015342,2780,2360,+110,2470
15,Omotchi,5212991784,15,259575340,2757,2313,+110,2423
16,Shun_PI,5209297671,16,259208632,2736,2197,+141,2338
17,nagiss,5202622735,13,259677647,2715,2177,+150,2327
18,shibh308,5183008784,18,258305830,2696,1867,+238,2105
19,catoon,5113746050,21,254550564,2677,1476,+449,1925
20,wanui,5109288456,20,254847183,2660,1832,+230,2062
21,tsukammo,5104750161,19,256285363,2643,1594,+348,1942
22,c7c7,5090136849,24,253266902,2627,2833,+29,2862
23,eivour,5087369982,22,254463495,2611,2680,+48,2728
24,cuthbert,5084667343,23,253394135,2596,2084,+147,2231
25,eijirou,5055854432,28,251672891,2582,2004,+151,2155
26,shamal_ref,5053929768,27,251680306,2568,245,+1346,1591
27,hirokazu1020,5033503025,26,251977645,2554,1407,+427,1834
28,prd_xxx,5033282981,29,251089960,2541,1767,+219,1986
29,yowa,5028880644,30,250350150,2528,2466,+40,2506
30,nrvft,5014797564,31,249551258,2516,2125,+100,2225
31,ynasu,5001372808,33,249352508,2504,2470,+34,2504
32,udon1206,5000268089,32,249445153,2492,1914,+150,2064
33,kurakura,4987280074,35,248189571,2480,2048,+119,2167
34,titia,4985868359,36,247858401,2469,1742,+196,1938
35,snow39,4976391343,34,248209443,2458,1158,+495,1653
36,Kiri8128,4954405159,39,246312695,2448,979,+618,1597
37,WildKangaroo,4953274430,38,246680040,2437,0,+1437,1437
38,bin101,4937793545,37,247214344,2427,1802,+165,1967
39,kibuna,4934829689,40,245336120,2417,1930,+123,2053
40,Yuki_B,4905514056,43,244696310,2407,1774,+168,1942
41,darnley,4901679865,42,244932778,2398,804,+711,1515
42,merom686,4886382279,44,243611162,2388,1789,+153,1942
43,Dente,4863550254,45,243041973,2379,1888,+118,2006
44,shim0,4859206570,46,242363854,2370,1152,+439,1591
45,fetetriste,4854291841,41,245058458,2361,1796,+149,1945
46,peroon,4836671859,48,240778649,2352,1360,+342,1702
47,yochan,4830147984,47,241921032,2344,1751,+180,1931
48,komori3,4795292419,50,238727267,2335,1983,+87,2070
49,terry_u16,4791720751,51,238302185,2327,2306,+40,2346
50,wleite,4771291746,52,238299103,2319,1861,+138,1999
51,iwashi31,4760142807,49,239973551,2310,2310,+36,2346
52,fgwiebfaoish,4756633430,53,237266754,2302,1925,+103,2028
53,rabot,4749312871,55,236096530,2295,1981,+80,2061
54,Yu_212,4725903635,59,234582202,2287,1976,+91,2067
55,daiwakun,4723883427,58,235243845,2279,0,+1279,1279
56,ks2m,4723753105,54,236208669,2272,1627,+164,1791
57,cozy_sauna,4701656386,56,235375325,2264,1056,+461,1517
58,theory_and_me,4697640191,60,234331774,2257,1893,+91,1984
59,btk15049,4685611597,57,235354694,2250,2294,+32,2326
60,carrot46,4665487324,61,232785279,2243,2096,+53,2149
61,kozima,4655014752,63,231563830,2236,1828,+95,1923
62,ymatsux,4651228580,62,231813656,2229,2547,+14,2561
63,EmK,4623403265,64,230332684,2222,2384,+20,2404
64,Haa,4607620860,65,229928619,2215,2087,+53,2140
65,ansain,4510083782,67,223431514,2208,987,+461,1448
66,abb,4480100971,68,223190538,2202,1846,+86,1932
67,ebicochineal,4473991850,66,224052741,2195,2151,+46,2197
68,xyz600,4466448791,69,222124361,2188,1936,+66,2002
69,chudanu,4444433949,73,220682819,2182,1627,+142,1769
70,nasuo,4421049928,72,220746151,2176,1812,+88,1900
71,hoshi524,4419177186,71,221009344,2169,2307,+23,2330
72,sumoooru,4419162172,70,221526094,2163,2203,+31,2234
73,kuhaku,4411802027,74,220609623,2157,2176,+38,2214
74,torisasami,4403244514,77,218844243,2151,1414,+207,1621
75,phyllo,4382365233,78,218801960,2145,1993,+59,2052
76,mamekin,4377883349,79,218332660,2139,1565,+153,1718
77,soto800,4375032323,76,218973891,2133,1448,+185,1633
78,hari64,4364349786,75,219148325,2127,1474,+194,1668
79,NKT,4363734896,80,218319417,2121,1573,+140,1713
80,nuts,4331224119,81,217614195,2115,1934,+58,1992
81,highjump,4290873030,85,214062916,2110,1751,+98,1849
82,Shibuyap,4286307759,86,213983867,2104,2105,+42,2147
83,Risen,4285128064,82,214841468,2098,1820,+79,1899
84,bayashiko,4284897886,83,214171126,2093,928,+422,1350
85,longrun,4282355055,84,214139972,2087,1560,+135,1695
86,rmizuta,4267130763,89,210342611,2082,1013,+351,1364
87,ngtkana,4263507789,88,212624995,2076,0,+1076,1076
88,yuusanlondon,4241751051,87,212965901,2071,2230,+29,2259
89,Kyo_s_s,4181618801,90,209174980,2066,204,+934,1138
90,Ack61,4171247939,91,208727352,2060,424,+771,1195
91,dsytk7,4146612829,92,207590321,2055,1578,+116,1694
92,jutama,4144083830,95,204946131,2050,1419,+203,1622
93,arimatti,4123200979,94,205411146,2045,1147,+275,1422
94,hiikunZ,4113786599,93,206386778,2039,1694,+81,1775
95,m_m,4113413564,97,204716397,2034,1695,+85,1780
96,kotatsugame,4089068752,100,203159123,2029,1970,+49,2019
97,riantkb,4088865219,99,203535225,2024,1830,+80,1910
98,maeda3,4077014544,96,204803263,2019,1474,+140,1614
99,kusano,4076304118,98,203976037,2014,2092,+28,2120
100,takytank,4071778223,102,202052623,2009,1695,+75,1770
101,chomonolis,4035966643,103,200887081,2004,1395,+157,1552
102,toku,4019043548,105,200095982,2000,1684,+81,1765
103,ysys_Ba,4012395375,101,202130609,1995,1031,+296,1327
104,shun2741,3998180662,104,200455453,1990,1495,+136,1631
105,hiratai,3996245544,106,198605769,1985,1995,+33,2028
106,Gobi,3979122438,107,197386973,1980,1802,+56,1858
107,takoshi,3976746157,108,197133738,1976,1852,+50,1902
108,ao1415,3951442152,109,196740013,1971,1346,+181,1527
109,totori0908,3930387046,113,195539129,1966,1917,+45,1962
110,makibishi0212,3924868328,114,195255068,1962,1550,+101,1651
111,y_kawano,3922024708,110,196344991,1957,1757,+57,1814
112,physics0523,3896783228,116,194053167,1953,1733,+65,1798
113,missionel,3895473530,117,193546645,1948,0,+948,948
114,kumakumaaaaa,3890183794,115,194180196,1944,1651,+87,1738
115,hiro116s,3870080951,112,195660944,1939,1787,+55,1842
116,yuji9511,3831448576,119,189854557,1935,1045,+276,1321
117,tute7627,3830521601,118,190353805,1930,1788,+56,1844
118,yasuwo,3798558540,111,195764401,1926,884,+391,1275
119,tsutaj,3786431039,120,188739058,1921,850,+383,1233
120,genomas,3746628927,122,188141476,1917,1198,+197,1395
121,to_omoT222,3739181193,123,187116165,1913,1070,+259,1329
122,amayapetako,3701506359,125,185372096,1908,1320,+147,1467
123,ryo_n,3675848759,126,182467553,1904,1034,+252,1286
124,ganmodokix,3640376483,127,181614366,1900,1440,+112,1552
125,emthrm,3639425475,128,180735938,1896,1918,+43,1961
126,US_cube,3621162687,132,178962030,1891,1355,+146,1501
127,mooaki,3587645255,131,179773259,1887,1663,+70,1733
128,noimi,3570034688,130,179959669,1883,1728,+71,1799
129,nikuroll,3522278844,133,178115294,1879,1843,+39,1882
130,zatt,3510453503,135,175147919,1875,1369,+128,1497
131,scol,3471158907,134,176498753,1871,1077,+243,1320
132,kamonohasidayo,3446127272,124,186663161,1867,0,+867,867
133,Aqua3k,3444292560,136,172628222,1862,1192,+180,1372
134,auaua,3432519321,138,170558712,1858,957,+297,1254
135,Trineutron,3424937454,137,170671062,1854,1458,+96,1554
136,kimiyuki,3380881941,139,167029487,1850,2439,+5,2444
137,keserasera_77,3377424391,140,166645315,1846,1345,+134,1479
138,Kahuka,3344928155,144,162544196,1842,1279,+140,1419
139,atcoder,3306988742,141,164876713,1838,1628,+56,1684
140,toame,3271594357,142,163823385,1835,2374,+6,2380
141,taiga0629,3255963254,145,161402082,1831,1564,+75,1639
142,rosso01,3242374612,143,162557043,1827,1083,+196,1279
143,dn154,3204359742,147,160746680,1823,1526,+77,1603
144,patron,3192944345,129,180080153,1819,994,+228,1222
145,ShunSK210328,3111786166,149,157468147,1815,892,+276,1168
146,sk4rd,3107811702,148,158714337,1811,1353,+121,1474
147,hasegawa1,3094067187,150,155520999,1807,1225,+158,1383
148,Ryoga_exe,3072311814,152,153351266,1804,39,+791,830
149,Zaurus,3049629769,151,153641441,1800,430,+563,993
